Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
0,29.043421403462716,7.674893822695596e-06,2.036197135877249e-05,7.536886187153868e-06,7.536886187153868e-06,9.00396571523743e-06,5.323447533816213e-06,5.124151706695558e-06,2.8592800057020454e-05,Whakaari,rhyolitic & trachytic & lava flow,Quaternary,Quaternary,0
0,27.82780265808105,7.611381998285301e-06,2.30934362426042e-05,6.847221205892479e-06,6.847221205892479e-06,9.531407158647197e-06,5.412917834146098e-06,5.01262978650764e-06,3.0470363212908797e-05,Horomaka,basaltic,Quaternary,Quaternary,0
-1,29.603587082732677,7.640200237801764e-06,1.6806585467781814e-05,6.9440625338756945e-06,6.9440625338756945e-06,9.444967872695996e-06,4.3946065821066234e-06,5.041040061041713e-06,2.0736867545540214e-05,Horomaka,basaltic,Pliocene,Pliocene,0
0,30.31575892697748,8.006508053633652e-06,1.6154359624387454e-05,5.892809734550855e-06,5.892809734550855e-06,8.454080671072006e-06,4.000204644768703e-06,4.080681554161827e-06,1.3937476199147274e-05,Horomaka,rhyolitic,Cretaceous,Cretaceous,0
-1,29.406652450561534,7.894207923899389e-06,3.271139998581433e-05,6.720844781494216e-06,6.720844781494216e-06,9.62417198024923e-06,1.4816003181060794e-05,4.981859494000674e-06,0.00042289997120907824,Allochthon,basaltic & lava flow,Miocene,Cretaceous,0
-1,29.61911201477051,7.939649384747974e-06,6.811771375834602e-05,6.048583671058731e-06,6.048583671058731e-06,3.870919885483345e-06,1.8311295168486097e-05,4.3910072109937065e-06,0.00019867481285163038,Horomaka,rhyolitic,Cretaceous,Cretaceous,0
0,18.026316794292114,6.890110292624995e-06,1.56110395694694e-05,5.522518166203121e-06,5.522518166203121e-06,7.764191320848316e-06,5.397098052295305e-06,3.5101853311061867e-06,1.9543420073768246e-05,BABB,basaltic,Quaternary,Paleocene,0
0,21.334154161380447,7.588385212631242e-06,4.253981866736663e-05,6.025950792404785e-06,6.025950792404785e-06,1.9185326891602017e-06,2.8919290768625237e-05,3.516017400820752e-06,1.1256474517355478e-05,Horomaka,lamprophyric & hypabyssal: basic,Miocene,Cretaceous,0
-1,23.771195170020967,7.570979937787091e-06,3.5793443086721726e-05,6.774816180758188e-06,6.774816180758188e-06,7.569162729811404e-06,9.124342254288213e-06,4.990067579248461e-06,1.2729475287172345e-05,Horomaka,basaltic,Quaternary,Quaternary,0
-1,23.80983161926269,7.803775036743879e-06,3.199410292207095e-05,6.726162134100136e-06,6.726162134100136e-06,7.790143184987155e-06,1.4077677951208773e-05,4.983669822104276e-06,0.002068752402396693,Whakaari,basaltic,Quaternary,Quaternary,0
